seg1,seg2,label,contradiction type,issues?
I definitely know. The show that was on TLC had 3 seasons. If definitely pushed me to try and uses more coupons.,I don't know. I have watched all 12 seasons already. I don't like the stinginess of the coupons. It just discourages me from using coupons.,self-contradiction,numeric,
i travel alone usually . so single . i'm an introvert,yeah i enjoy spending time with my wife and children too,self-contradiction,lexical,
"I love cookies, but am a terrible baker. My favorite is white chocolate chips and macadamia nut. What's yours?",Thanks for the information. But i hate cookies. ,self-contradiction,antonymy,
cook some for me ? i eat out mostly . i do not cook often .,I eat pretty much anything. I do all my own cooking. I never eat out - costs too much.,self-contradiction,negation,
You should tell your wife because this is unfair to her.,"Although that might ruin your daughter's home life, so maybe you should keep your secret hidden.",self-contradiction,lexical,Missing Context
"Oh wow, and they get along good? I have always wanted a cat but scared about already having dogs.",My one cat is not like that. He is very lazy and obsessed with food.,self-contradiction,lexical,
i don't i don't like it,"Oh, me too, I drank so much that I lost my home too.",self-contradiction,negation,Missing Context
i do actually . what is your favorite movie of his,"Oh cool, I've never seen them.",self-contradiction,lexical,Missing Context
"no , i grew up alone until i got my dog socks",I grew up with many people around me,self-contradiction,antonymy,
"im thinking about renting an apartment, aka a self-contained housing unit that occupies only part of a building",I'm looking for a house in the right neighborhood.,self-contradiction,lexical,
Yes I would agree. I only do it once or twice a year for fun.,i gamble a lot myself,self-contradiction,lexical,Missing Context
Do you have any animals? I just had to put mine down,Same breed as mine and i am taking my cat for next summer holiday.,self-contradiction,lexical,
I have been a pharmacist for 10 years.,"I do, but I need to work more, only been a pharmacist for 5 years.",self-contradiction,numeric,
That's good to know. I guess I'll have to look into more specific treatment options to see which one I should use. What else do you think I should know about it?,That information is not valid and is totally unacceptable.,self-contradiction,structure,
spiritual napping . full time spiritual napping . it has been three months since i talked in fact .,"I don't really do this. I spend too much time with family and others to have meditation, spiritual napping, and alone time.",self-contradiction,lexical,
im very proud of you and the hard work you put in,I do not think you put in a lot of work,self-contradiction,negation,
"I mean, sometimes I do, sometimes I don't.  I wish I had better parent support.","Yes. It gets tiring, but atleast I have really good parent support to keep me motivated.",self-contradiction,structure,
"new here , trying to make an extra living as a grad student . you ?","Interesting. Do you need a degree for that? I dropped out of high school and never returned to education, which is why I'm asking.",self-contradiction,lexical,
I can imagine. Take your time with it. I've been feeling terrible too lately for a much less severe reason. Just have to pick yourself up. ,Nothing. I've been having a wonderful time lately!,self-contradiction,lexical,
"Yes, although it's caused by the axis of the Earth in that Hemisphere since it's oriented away from the sun.",That sounds about right. I don't know. All of this stuff is pretty boring to discuss.,self-contradiction,lexical,
I'd love to be a superhero!  I'd like to be one that gets paid though!  lol   I love money especially when it pays the bills.,"Being a super hero is nice, but I'll never be one",self-contradiction,structure,
Funny I haven't tried squatting before so I'd love to try it out.,I work in an IT firm and I always feel burned out at the end of the day and don't have time for music.,self-contradiction,lexical,
wow. I envy you by the way. I can never go to bed by 9,i wish i could stay up past 9!,self-contradiction,structure,
"wow , four sisters . just watching game of thrones .",i love the GOT,self-contradiction,N-a,not really a contradiction
That is great accomplishment! I wish you well on your new path in life!,"Whatever, that's not my problem.",self-contradiction,lexical,
It is a pretty good horror.,"I hated that movie, it was boring and silly.",self-contradiction,negation,
"Yeah, and like college, mechanics still typically need to be certified, which is like a degree in a way","Hmm, only certificate can say our talents and above.",self-contradiction,N-a,Missing Context
im sorry are we having two different conversations here?  He has actually written over 94 books.,"i dislike stephen king, he has only written 34 books",self-contradiction,numeric,
hello . are you married ? i am and my wife spends most of my money .,I am divorced but miss my wife.,self-contradiction,antonymy,
"Ew, I definitely do not like that at all.",oh yes its very healthy . i  lke most all food .,self-contradiction,negation,Missing Context
oh no way! dogs are cute and snuggly,i hate them sometimes,self-contradiction,lexical,
"I agree,  he needs to stop isolating the U.S.",I'm glad he is doing this. America does not need any country. The U.S. will be fine on its own!,self-contradiction,lexical,
that's cool . i love mountain climbing so its sorta the same . being up so high,I'm not really a risk taker. I like to stay in fixed situations so I know what will happen.,self-contradiction,lexical,
We share a stairwell and they always leave trash on it. The always get notices about rent so maybe they will be evicted soon.,"Yeah, but they're unlikely to get evicted. They always pay the rent on time.",self-contradiction,lexical,
oh good how many friends you have in facebook ?,i have 1000 friends,self-contradiction,N-a,not really a contradiction
Oh no!! Haha. The first days of school can be so hectic! But soon the routine will set in again and all will be good. :),"You are panicking as usual, get a grip!",self-contradiction,N-a,Missing Context
Yes I agree. I don't believe in the useless hunting that poachers do. Its so cruel.,Just me and my friend we been caught poaching twice in the last year.,self-contradiction,lexical,
Do you play?,i like reading ,self-contradiction,N-a,Missing Context
that is funny ! my sister is an entertainer . she dances on poles .,"I don't have a sister, but my brother doesn't like it at all.",self-contradiction,negation,
